ISBN,Synopsis
9780735214484,"A powerful argument for how to succeed in any field: develop broad interests and skills while everyone around you is rushing to specialize. Plenty of experts argue that anyone who wants to develop a skill, play an instrument, or lead their field should start early, focus intensely, and rack up as many hours of deliberate practice as possible. If you dabble or delay, you’ll never catch up to the people who got a head start. But a closer look at research on the world’s top performers, from professional athletes to Nobel laureates, shows that early specialization is the exception, not the rule.     
David Epstein examined the world’s most successful athletes, artists, musicians, inventors, forecasters and scientists. He discovered that in most fields—especially those that are complex and unpredictable—generalists, not specialists, are primed to excel. Generalists often find their path late, and they juggle many interests rather than focusing on one. They’re also more creative, more agile, and able to make connections their more specialized peers can’t see. 
Provocative, rigorous, and engrossing, Range makes a compelling case for actively cultivating inefficiency. Failing a test is the best way to learn. Frequent quitters end up with the most fulfilling careers. The most impactful inventors cross domains rather than deepening their knowledge in a single area. As experts silo themselves further while computers master more of the skills once reserved for highly focused humans, people who think broadly and embrace diverse experiences and perspectives will increasingly thrive.
A New York Times Bestseller"
9781250217745,"From Ben Mezrich, the New York Times bestselling author of The Accidental Billionaires and Bringing Down the House, comes Bitcoin Billionaires--the fascinating story of brothers Tyler and Cameron Winklevoss's big bet on crypto-currency and its dazzling pay-off. Ben Mezrich's 2009 bestseller The Accidental Billionaires is the definitive account of Facebook's founding and the basis for the Academy Award–winning film The Social Network. Two of the story's iconic characters are Harvard students Tyler and Cameron Winklevoss: identical twins, Olympic rowers, and foils to Mark Zuckerberg. Bitcoin Billionaires is the story of the brothers’ redemption and revenge in the wake of their epic legal battle with Facebook. Planning to start careers as venture capitalists, the brothers quickly discover that no one will take their money after their fight with Zuckerberg. While nursing their wounds in Ibiza, they accidentally run into an eccentric character who tells them about a brand-new idea: cryptocurrency. Immersing themselves in what is then an obscure and sometimes sinister world, they begin to realize “crypto” is, in their own words, ""either the next big thing or total bulls--t."" There’s nothing left to do but make a bet. From the Silk Road to the halls of the Securities and Exchange Commission, Bitcoin Billionaires will take us on a wild and surprising ride while illuminating a tantalizing economic future. On November 26, 2017, the Winklevoss brothers became the first bitcoin billionaires. Here’s the story of how they got there—as only Ben Mezrich could tell it."
9781328479259,"A NEW YORK TIMES, WALL STREET JOURNAL, AND USA TODAY BESTSELLERNamed one of the Best Business Books of 2018 by Business InsiderThe legendary investor shows how to identify and master the cycles that govern the markets.We all know markets rise and fall, but when should you pull out, and when should you stay in? The answer is never black or white, but is best reached through a keen understanding of the reasons behind the rhythm of cycles. Confidence about where we are in a cycle comes when you learn the patterns of ups and downs that influence not just economics, markets and companies, but also human psychology and the investing behaviors that result. If you study past cycles, understand their origins and remain alert for the next one, you will become keenly attuned to the investment environment as it changes. You’ll be aware and prepared while others get blindsided by unexpected events or fall victim to emotions like fear and greed. By following Marks’s insights — drawn in part from his iconic memos over the years to Oaktree’s clients — you can master these recurring patterns to have the opportunity to improve your results."
9781328546395,"Dr. Kai-Fu Lee—one of the world’s most respected experts on AI and China—reveals that China has suddenly caught up to the US at an astonishingly rapid and unexpected pace.   
In AI Superpowers, Kai-fu Lee argues powerfully that because of these unprecedented developments in AI, dramatic changes will be happening much sooner than many of us expected. Indeed, as the US-Sino AI competition begins to heat up, Lee urges the US and China to both accept and to embrace the great responsibilities that come with significant technological power. 
Most experts already say that AI will have a devastating impact on blue-collar jobs. But Lee predicts that Chinese and American AI will have a strong impact on white-collar jobs as well. Is universal basic income the solution?
 In Lee’s opinion, probably not.  But he provides  a clear description of which jobs will be affected and how soon, which jobs can be enhanced with AI, and most importantly, how we can provide solutions to some of the most profound changes in human history that are coming soon.
A New York Times Bestseller"
9781524731656,"The full inside story of the breathtaking rise and shocking collapse of Theranos, the multibillion-dollar biotech startup, by the prize-winning journalist who first broke the story and pursued it to the end, despite pressure from its charismatic CEO and threats by her lawyers.
In 2014, Theranos founder and CEO Elizabeth Holmes was widely seen as the female Steve Jobs: a brilliant Stanford dropout whose startup ""unicorn"" promised to revolutionize the medical industry with a machine that would make blood testing significantly faster and easier. 
Backed by investors such as Larry Ellison and Tim Draper, Theranos sold shares in a fundraising round that valued the company at more than $9 billion, putting Holmes's worth at an estimated $4.7 billion. 
There was just one problem: The technology didn't work.
A riveting story of the biggest corporate fraud since Enron, a tale of ambition and hubris set amid the bold promises of Silicon Valley.
A New York Times Bestseller"
9780804139298,"#1 NEW YORK TIMES BESTSELLERIf you want to build a better future, you must believe in secrets.The great secret of our time is that there are still uncharted frontiers to explore and new inventions to create. In Zero to One, legendary entrepreneur and investor Peter Thiel shows how we can find singular ways to create those new things. Thiel begins with the contrarian premise that we live in an age of technological stagnation, even if we're too distracted by shiny mobile devices to notice. Information technology has improved rapidly, but there is no reason why progress should be limited to computers or Silicon Valley. Progress can be achieved in any industry or area of business. It comes from the most important skill that every leader must master: learning to think for yourself.Doing what someone else already knows how to do takes the world from 1 to n, adding more of something familiar. But when you do something new, you go from 0 to 1. The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won't make a search engine. Tomorrow's champions will not win by competing ruthlessly in today's marketplace. They will escape competition altogether, because their businesses will be unique. Zero to One presents at once an optimistic view of the future of progress in America and a new way of thinking about innovation: it starts by learning to ask the questions that lead you to find value in unexpected places.From the Hardcover edition."
9780399590504,"An unforgettable memoir about a young girl who, kept out of school, leaves her survivalist family and goes on to earn a PhD from Cambridge University. 
Tara Westover was seventeen the first time she set foot in a classroom. Born to survivalists in the mountains of Idaho, she prepared for the end of the world by stockpiling home-canned peaches and sleeping with her “head-for-the-hills” bag. 
In the summer she stewed herbs for her mother, a midwife and healer, and in the winter she salvaged metal in her father’s junkyard. 
Her father distrusted the medical establishment, so Tara never saw a doctor or nurse. Gashes and concussions, even burns from explosions, were all treated at home with herbalism. The family was so isolated from mainstream society that there was no one to ensure the children received an education, and no one to intervene when an older brother became violent. 
When another brother got himself into college and came back with news of the world beyond the mountain, Tara decided to try a new kind of life. She taught herself enough mathematics, grammar, and science to take the ACT and was admitted to Brigham Young University. There, she studied psychology, politics, philosophy, and history, learning for the first time about pivotal world events like the Holocaust and the Civil Rights Movement. 
Her quest for knowledge transformed her, taking her over oceans and across continents, to Harvard and to Cambridge University. Only then would she wonder if she’d traveled too far, if there was still a way home. Educated is an account of the struggle for self-invention. It is a tale of fierce family loyalty, and of the grief that comes from severing one’s closest ties. 
With the acute insight that distinguishes all great writers, Westover has crafted a universal coming-of-age story that gets to the heart of what an education is and what it offers: the perspective to see one’s life through new eyes, and the will to change it.
A New York Times Bestseller"
9780385349949,"Thirty years after women became 50 percent of the college graduates in the United States, men still hold the vast majority of leadership positions in government and industry. This means that women's voices are still not heard equally in the decisions that most affect our lives. In Lean In, Sheryl Sandberg examines why women's progress in achieving leadership roles has stalled, explains the root causes, and offers compelling, commonsense solutions that can empower women to achieve their full potential. Sandberg is the chief operating officer of Facebook and is ranked on Fortune's list of the 50 Most Powerful Women in Business and as one of Time's 100 Most Influential People in the World. In 2010, she gave an electrifying TEDTalk in which she described how women unintentionally hold themselves back in their careers. Her talk, which became a phenomenon and has been viewed more than two million times, encouraged women to ""sit at the table,"" seek challenges, take risks, and pursue their goals with gusto.In Lean In, Sandberg digs deeper into these issues, combining personal anecdotes, hard data, and compelling research to cut through the layers of ambiguity and bias surrounding the lives and choices of working women. She recounts her own decisions, mistakes, and daily struggles to make the right choices for herself, her career, and her family. She provides practical advice on negotiation techniques, mentorship, and building a satisfying career, urging women to set boundaries and to abandon the myth of ""having it all.""  She describes specific steps women can take to combine professional achievement with personal fulfillment and demonstrates how men can benefit by supporting women in the workplace and at home. Written with both humor and wisdom, Sandberg's book is an inspiring call to action and a blueprint for individual growth. Lean In is destined to change the conversation from what women can't do to what they can."
9780061241895,"Influence, the classic book on persuasion, explains the psychology of why people say ""yes""--and how to apply these understandings. Dr. Robert Cialdini is the seminal expert in the rapidly expanding field of influence and persuasion. His thirty-five years of rigorous, evidence-based research along with a three-year program of study on what moves people to change behavior has resulted in this highly acclaimed book.  



You'll learn the six universal principles, how to use them to become a skilled persuader--and how to defend yourself against them. Perfect for people in all walks of life, the principles of Influence will move you toward profound personal change and act as a driving force for your success."
9780735216358,"Poker champion turned business consultant Annie Duke teaches you how to get comfortable with uncertainty and make better decisions as a result.In Super Bowl XLIX, Seahawks coach Pete Carroll made one of the most controversial calls in football history: With 26 seconds remaining, and trailing by four at the Patriots' one-yard line, he called for a pass instead of a hand off to his star running back. The pass was intercepted and the Seahawks lost. Critics called it the dumbest play in history. But was the call really that bad? Or did Carroll actually make a great move that was ruined by bad luck?Even the best decision doesn't yield the best outcome every time. There's always an element of luck that you can't control, and there is always information that is hidden from view. So the key to long-term success (and avoiding worrying yourself to death) is to think in bets: How sure am I? What are the possible ways things could turn out? What decision has the highest odds of success? Did I land in the unlucky 10% on the strategy that works 90% of the time? Or is my success attributable to dumb luck rather than great decision making? Annie Duke, a former World Series of Poker champion turned business consultant, draws on examples from business, sports, politics, and (of course) poker to share tools anyone can use to embrace uncertainty and make better decisions. For most people, it's difficult to say ""I'm not sure"" in a world that values and, even, rewards the appearance of certainty. But professional poker players are comfortable with the fact that great decisions don't always lead to great outcomes and bad decisions don't always lead to bad outcomes.By shifting your thinking from a need for certainty to a goal of accurately assessing what you know and what you don't, you'll be less vulnerable to reactive emotions, knee-jerk biases, and destructive habits in your decision making. You'll become more confident, calm, compassionate and successful in the long run."
9781524761417,"Foreword by Bill GatesLinkedIn cofounder, legendary investor, and host of the award-winning Masters of Scale podcast reveals the secret to starting and scaling massively valuable companies.What entrepreneur or founder doesn’t aspire to build the next Amazon, Facebook, or Airbnb?  Yet those who actually manage to do so are exceedingly rare.  So what separates the startups that get disrupted and disappear from the ones who grow to become global giants?The secret is blitzscaling: a set of techniques for scaling up at a dizzying pace that blows competitors out of the water. The objective of Blitzscaling is not to go from zero to one, but from one to one billion –as quickly as possible.When growing at a breakneck pace, getting to next level requires very different strategies from those that got you to where you are today. In a book inspired by their popular class at Stanford Business School, Hoffman and Yeh  reveal how to navigate the necessary shifts and weather the unique challenges that arise at each stage of a company’s life cycle, such as: how to design business models for igniting and sustaining relentless growth; strategies for hiring and managing; how the role of the founder and company culture must evolve as the business matures, and more.  Whether your business has ten employees or ten thousand, Blitzscaling is the essential playbook for winning in a world where speed is the only competitive advantage that matters."
9780307377906,"Why can't our political leaders work together as threats loom and problems mount? Why do people so readily assume the worst about the motives of their fellow citizens? In The Righteous Mind, social psychologist Jonathan Haidt explores the origins of our divisions and points the way forward to mutual understanding.  His starting point is moral intuition--the nearly instantaneous perceptions we all have about other people and the things they do. These intuitions feel like self-evident truths, making us righteously certain that those who see things differently are wrong. Haidt shows us how these intuitions differ across cultures, including the cultures of the political left and right. He blends his own research findings with those of anthropologists, historians, and other psychologists to draw a map of the moral domain, and he explains why conservatives can navigate that map more skillfully than can liberals. He then examines the origins of morality, overturning the view that evolution made us fundamentally selfish creatures. But rather than arguing that we are innately altruistic, he makes a more subtle claim--that we are fundamentally groupish. It is our groupishness, he explains, that leads to our greatest joys, our religious divisions, and our political affiliations. In a stunning final chapter on ideology and civility, Haidt shows what each side is right about, and why we need the insights of liberals, conservatives, and libertarians to flourish as a nation."
9780316392006,"""I have long been a fan of David Christian. In Origin Story, he  elegantly weaves evidence and insights from many scientific and  historical disciplines into a single, accessible historical narrative."" --Bill GatesA captivating history of the universe -- from before the dawn of time through the far reaches of the distant future.Most historians study the smallest slivers of time, emphasizing specific dates, individuals, and documents. But what would it look like to study the whole of history, from the big bang through the present day -- and even into the remote future? How would looking at the full span of time change the way we perceive the universe, the earth, and our very existence?These were the questions David Christian set out to answer when he created the field of ""Big History,"" the most exciting new approach to understanding where we have been, where we are, and where we are going. In Origin Story, Christian takes readers on a wild ride through the entire 13.8 billion years we've come to know as ""history."" By focusing on defining events (thresholds), major trends, and profound questions about our origins, Christian exposes the hidden threads that tie everything together -- from the creation of the planet to the advent of agriculture, nuclear war, and beyond.With stunning insights into the origin of the universe, the beginning of life, the emergence of humans, and what the future might bring, Origin Story boldly reframes our place in the cosmos."
9781594202773,"Understanding the modern city and the powerful forces within it is the life's work of Harvard urban economist Edward Glaeser, who at forty is hailed as one of the world's most exciting urban thinkers.  Travelling from city to city, speaking to planners and politicians across the world, he uncovers questions large and small whose answers are both counterintuitive and deeply significant.  Should New Orleans be rebuilt? Why can't my nephew afford an apartment in New York? Is London the new financial capital of the world? Is my job headed to Bangalore? In Triumph of the City, Glaeser takes us around the world and into the mind of the modern city - from Mumbai to Paris to Rio to Detroit to Shanghai, and to any number of points in between - to reveal how cities think, why they behave in the manners that they do, and what wisdom they share with the people who inhabit them.  'A masterpiece' Steven D.  Levitt, co-author of Freakonomics 'A brilliant read: persuasive and provocative' Time Out 'Replete with lightly borne learning, this is a tremendous book' Bryan Appleyard, Literary Review 'Fascinating' Sunday Telegraph 'Comprehensive, compelling and strongly recommended"" Tim Harford, author of The Undercover Economist and Adapt 'A hymn to the city' Metro"
9780385536974,"Crazy Rich Asians is the outrageously funny debut novel about three super-rich, pedigreed Chinese families and the gossip, backbiting, and scheming that occurs when the heir to one of the most massive fortunes in Asia brings home his ABC (American-born Chinese) girlfriend to the wedding of the season.
When Rachel Chu agrees to spend the summer in Singapore with her boyfriend, Nicholas Young, she envisions a humble family home, long drives to explore the island, and quality time with the man she might one day marry. 
What she doesn't know is that Nick's family home happens to look like a palace, that she'll ride in more private planes than cars, and that with one of Asia's most eligible bachelors on her arm, Rachel might as well have a target on her back. Initiated into a world of dynastic splendor beyond imagination, Rachel meets Astrid, the It Girl of Singapore society; Eddie, whose family practically lives in the pages of the Hong Kong socialite magazines; and Eleanor, Nick's formidable mother, a woman who has very strong feelings about who her son should--and should not--marry. 
Uproarious, addictive, and filled with jaw-dropping opulence, Crazy Rich Asians is an insider's look at the Asian JetSet; a perfect depiction of the clash between old money and new money; between Overseas Chinese and Mainland Chinese; and a fabulous novel about what it means to be young, in love, and gloriously, crazily rich."
9781455586691,"One of the most valuable skills in our economy is becoming increasingly rare. If you master this skill, you'll achieve extraordinary results.Deep work is the ability to focus without distraction on a cognitively demanding task. It's a skill that allows you to quickly master complicated information and produce better results in less time. Deep work will make you better at what you do and provide the sense of true fulfillment that comes from craftsmanship. In short, deep work is like a super power in our increasingly competitive twenty-first century economy. And yet, most people have lost the ability to go deep-spending their days instead in a frantic blur of e-mail and social media, not even realizing there's a better way.In DEEP WORK, author and professor Cal Newport flips the narrative on impact in a connected age. Instead of arguing distraction is bad, he instead celebrates the power of its opposite. Dividing this book into two parts, he first makes the case that in almost any profession, cultivating a deep work ethic will produce massive benefits. He then presents a rigorous training regimen, presented as a series of four ""rules,"" for transforming your mind and habits to support this skill. A mix of cultural criticism and actionable advice, DEEP WORK takes the reader on a journey through memorable stories-from Carl Jung building a stone tower in the woods to focus his mind, to a social media pioneer buying a round-trip business class ticket to Tokyo to write a book free from distraction in the air-and no-nonsense advice, such as the claim that most serious professionals should quit social media and that you should practice being bored. DEEP WORK is an indispensable guide to anyone seeking focused success in a distracted world."
9780735211391,"In your pocket is something amazing: a quick and easy way to summon a total stranger who will take you anywhere you’d like. In your hands is something equally amazing: the untold story of Uber’s meteoric rise, and the massive ambitions of its larger-than-life founder and CEO.Before Travis Kalanick became famous as the public face of Uber, he was a scrappy, rough-edged, loose-lipped entrepreneur. And even after taking Uber from the germ of an idea to a $69 billion global transportation behemoth, he still describes his company as a start-up. Like other Silicon Valley icons such as Steve Jobs and Elon Musk, he’s always focused on the next disruptive innovation and the next world to conquer.Both Uber and Kalanick have acquired a reputation for being combative, relentless, and iron-fisted against competitors. They’ve inspired both admiration and loathing as they’ve flouted government regulators, thrown the taxi industry into a tailspin, and stirred controversy over possible exploitation of drivers. They’ve even reshaped the deeply ingrained consumer behavior of not accepting a ride from a stranger—against the childhood warnings from everyone’s parents. Wild Ride is the first truly inside look at Uber’s global empire. Veteran journalist Adam Lashinsky, the bestselling author of Inside Apple, traces the origins of Kalanick’s massive ambitions in his humble roots, and he explores Uber’s murky beginnings and the wild ride of its rapid growth and expansion into different industries.Lashinsky draws on exclusive, in-depth interviews with Kalanick and many other sources who share new details about Uber’s internal and external power struggles. He also examines its doomed venture into China and the furtive fight between Kalanick and his competitors at Google, Tesla, Lyft, and GM over self-driving cars. Lashinsky even got behind the wheel as an Uber driver himself to learn what it’s really like.Uber has made headlines thanks to its eye-popping valuations and swift expansion around the world. But this book is the first account of how Uber really became the giant it is today, and how it plans to conquer the future."
9780735216136,"A lively history seen through the fifty inventions that shaped it most profoundly, by the bestselling author of The Undercover Economist and Messy.   Who thought up paper money? What was the secret element that made the Gutenberg printing press possible? And what is the connection between The Da Vinci Code and the collapse of Lehman Brothers?  Fifty Inventions That Shaped the Modern Economy paints an epic picture of change in an intimate way by telling the stories of the tools, people, and ideas that had far-reaching consequences for all of us. From the plough to artificial intelligence, from Gillette’s disposable razor to IKEA’s Billy bookcase, bestselling author and Financial Times columnist Tim Harford recounts each invention’s own curious, surprising, and memorable story.  Invention by invention, Harford reflects on how we got here and where we might go next. He lays bare often unexpected connections: how the bar code undermined family corner stores, and why the gramophone widened inequality. In the process, he introduces characters who developed some of these inventions, profited from them, and were ruined by them, as he traces the principles that helped explain their transformative effects. The result is a wise and witty book of history, economics, and biography."
